Name,Age,Purpose,Depature,Destination,PeriodOfStay
라우현,28,business,incheon,tokyo,28
국지인,44,business,busan,fukuoka,37
소태린,41,business,gimpo,osaka,35
간리원,16,business,jeju,tokyo,26
시윤,23,tourism,busan,osaka,50
온선우,2,other,busan,fukuoka,74
감준,28,tourism,gimpo,fukuoka,90
갈나은,33,other,gimpo,tokyo,1
석세린,76,tourism,jeju,fukuoka,86
형도연,29,business,incheon,saporo,68
송루아,64,other,gimpo,fukuoka,26
범현진,3,business,jeju,tokyo,57
남연재,18,other,busan,fukuoka,22
선나현,7,business,jeju,osaka,72
함서호,58,tourism,jeju,osaka,70
홍재희,80,business,jeju,osaka,11
심소이,72,business,incheon,tokyo,33
피윤서,68,tourism,incheon,tokyo,12
박은재,35,tourism,incheon,tokyo,85
채하연,56,tourism,incheon,fukuoka,44
감서은,57,business,busan,tokyo,48
연하랑,51,other,jeju,fukuoka,25
주도겸,40,other,jeju,osaka,76
고지민,51,tourism,busan,saporo,78
팽윤호,42,business,incheon,osaka,19
노태리,9,tourism,jeju,tokyo,88
하태영,58,tourism,jeju,fukuoka,70
호도진,14,tourism,jeju,fukuoka,55
감단비,63,other,gimpo,saporo,85
천은서,27,tourism,jeju,osaka,2
윤이현,39,tourism,gimpo,fukuoka,77
제태희,69,business,busan,saporo,18
기연아,70,other,jeju,tokyo,70
장강민,0,business,jeju,fukuoka,60
팽승윤,62,other,gimpo,osaka,89
손하엘,18,other,busan,osaka,36
주소희,45,business,busan,saporo,2
현승호,7,other,gimpo,tokyo,90
문준혁,49,other,gimpo,fukuoka,26
도민호,2,other,incheon,osaka,10
제율,44,business,busan,saporo,22
맹동규,42,other,incheon,fukuoka,51
송나윤,76,other,incheon,tokyo,11
편은유,25,tourism,jeju,saporo,37
제지연,4,tourism,jeju,osaka,80
노재우,10,tourism,gimpo,fukuoka,81
민승재,22,business,incheon,fukuoka,20
최서영,2,other,busan,osaka,8
연민채,9,other,gimpo,saporo,5
홍서호,24,tourism,gimpo,tokyo,46
민동욱,25,other,jeju,saporo,20
빈혜성,72,tourism,incheon,saporo,15
문도영,16,tourism,incheon,saporo,42
오주아,49,tourism,jeju,tokyo,60
견찬영,50,other,jeju,saporo,74
은해준,47,other,gimpo,osaka,55
위이현,69,tourism,busan,saporo,84
정유성,21,tourism,gimpo,tokyo,63
호예서,39,tourism,incheon,osaka,35
맹범준,4,business,jeju,tokyo,67
왕주현,2,other,gimpo,fukuoka,7
성이준,51,tourism,jeju,osaka,44
손서우,14,other,incheon,fukuoka,57
도희찬,80,other,busan,tokyo,46
우로이,21,business,busan,saporo,11
마연호,1,business,busan,fukuoka,39
최태윤,65,other,jeju,osaka,56
복태희,31,business,gimpo,saporo,7
장지환,64,other,gimpo,fukuoka,22
빈예성,58,other,gimpo,saporo,18
왕민경,38,other,gimpo,osaka,4
석수정,33,business,gimpo,osaka,80
음현우,65,business,busan,tokyo,79
장수진,68,other,incheon,tokyo,46
채재준,74,business,incheon,saporo,72
좌소은,44,other,jeju,saporo,22
형온유,68,business,gimpo,fukuoka,58
차시현,29,other,busan,tokyo,73
강찬,80,business,gimpo,osaka,22
백민서,2,business,gimpo,saporo,4
천원우,61,business,busan,saporo,89
소가온,16,business,incheon,saporo,73
한소희,26,tourism,jeju,fukuoka,21
간민결,15,other,busan,tokyo,47
범준원,73,other,busan,osaka,27
감승민,75,other,incheon,osaka,5
형성현,20,other,gimpo,saporo,55
소서하,58,tourism,busan,tokyo,33
추아린,4,tourism,incheon,saporo,74
간수호,45,business,incheon,saporo,85
동윤서,15,other,incheon,saporo,17
엄민석,73,other,gimpo,osaka,17
구주환,63,other,gimpo,saporo,76
허은유,63,other,busan,fukuoka,88
음서준,32,tourism,incheon,osaka,49
봉성준,71,tourism,gimpo,saporo,15
한여준,6,other,jeju,osaka,47
고은설,63,other,jeju,saporo,35
상선우,17,business,incheon,fukuoka,88
제현,80,business,jeju,tokyo,16
엄서린,68,tourism,gimpo,osaka,1
금승후,56,tourism,incheon,fukuoka,47
정채연,15,business,gimpo,fukuoka,72
길현,37,other,busan,saporo,27
전성빈,80,business,incheon,fukuoka,50
황다원,18,other,gimpo,tokyo,11
송가은,28,business,busan,fukuoka,26
도준희,11,tourism,incheon,fukuoka,67
정연재,46,other,incheon,fukuoka,68
제제이,50,tourism,jeju,fukuoka,36
감다혜,79,other,incheon,osaka,80
배하늘,49,business,incheon,fukuoka,44
형유안,67,business,busan,fukuoka,39
배리아,33,other,incheon,fukuoka,66
좌태건,12,tourism,incheon,fukuoka,31
단지인,15,business,incheon,fukuoka,14
성태훈,30,other,jeju,tokyo,6
주태오,61,tourism,jeju,saporo,76
은수현,41,tourism,busan,fukuoka,60
설정은,51,business,gimpo,tokyo,13
여승아,1,business,gimpo,saporo,27
도하린,47,tourism,jeju,fukuoka,36
유지영,71,business,incheon,saporo,56
태주한,21,other,incheon,tokyo,57
함수호,71,other,jeju,osaka,69
함수인,61,tourism,incheon,osaka,18
남윤진,77,tourism,gimpo,saporo,34
설단아,2,other,jeju,fukuoka,14
어지후,9,business,jeju,osaka,2
간성준,47,other,incheon,tokyo,67
임서율,42,tourism,gimpo,tokyo,11
조이현,80,tourism,jeju,fukuoka,65
팽다혜,56,business,incheon,saporo,32
변서우,79,tourism,incheon,osaka,78
이유민,32,business,busan,fukuoka,14
공하은,65,business,jeju,fukuoka,68
남서윤,60,other,incheon,saporo,51
육민재,58,tourism,incheon,fukuoka,17
감성빈,48,other,gimpo,saporo,16
소지온,13,business,incheon,tokyo,76
송은성,61,tourism,incheon,fukuoka,87
임지율,38,tourism,incheon,saporo,47
염유진,42,tourism,busan,tokyo,20
탁혜린,18,business,incheon,tokyo,45
견가온,47,other,incheon,saporo,88
채민솔,6,other,busan,fukuoka,63
나하율,42,other,gimpo,saporo,88
호선호,44,business,gimpo,tokyo,3
용재우,70,other,incheon,fukuoka,22
고연지,23,tourism,busan,osaka,68
황성진,8,business,incheon,fukuoka,24
목하람,59,business,gimpo,tokyo,64
표지용,27,other,incheon,saporo,42
시지안,11,business,jeju,osaka,55
고시후,47,tourism,gimpo,osaka,53
고예준,51,other,incheon,osaka,73
시온유,54,tourism,jeju,saporo,12
육소민,43,tourism,incheon,saporo,32
노우성,12,tourism,jeju,tokyo,85
남리안,53,other,busan,osaka,70
백시아,50,other,incheon,saporo,26
제은수,44,tourism,jeju,tokyo,70
유민경,71,other,jeju,fukuoka,82
범승민,60,tourism,gimpo,tokyo,82
금수현,23,business,incheon,osaka,88
시지혜,15,tourism,gimpo,tokyo,60
양수현,63,other,busan,fukuoka,56
서정현,65,other,busan,tokyo,21
허서원,49,other,busan,osaka,26
허태준,19,other,incheon,saporo,48
인은성,22,other,busan,saporo,77
구주은,41,business,gimpo,tokyo,2
육승원,75,other,busan,saporo,34
마윤지,9,business,incheon,fukuoka,44
상새봄,48,tourism,gimpo,tokyo,37
지율,18,business,busan,saporo,40
선유림,55,tourism,gimpo,tokyo,28
당하온,61,business,busan,fukuoka,60
함이안,70,tourism,jeju,saporo,19
양찬우,42,other,gimpo,fukuoka,19
육채린,28,tourism,busan,tokyo,80
곽승연,16,business,incheon,saporo,2
서하윤,18,business,gimpo,osaka,59
문정윤,12,other,jeju,saporo,9
신민아,55,other,jeju,fukuoka,44
백윤서,44,other,gimpo,osaka,12
두태환,64,other,gimpo,tokyo,32
연한나,5,other,incheon,fukuoka,67
승한나,75,business,busan,fukuoka,66
추다원,49,other,gimpo,osaka,17
지윤채,26,business,incheon,osaka,55
피지오,22,business,incheon,osaka,25
배연우,49,tourism,jeju,fukuoka,37
백승호,75,tourism,busan,tokyo,74
음하람,53,tourism,busan,fukuoka,8
송재혁,62,business,gimpo,osaka,21
동민재,68,business,incheon,tokyo,6
노효준,44,business,jeju,tokyo,49
나시준,80,other,incheon,fukuoka,63
우지혁,46,other,incheon,tokyo,75
인선율,57,business,busan,osaka,22
윤효린,10,business,jeju,tokyo,33
가세연,66,other,gimpo,saporo,63
지재하,45,other,incheon,saporo,79
은민호,43,business,busan,tokyo,15
나세현,41,business,incheon,fukuoka,12
온은유,74,other,gimpo,fukuoka,54
방은성,41,tourism,jeju,fukuoka,10
성민찬,46,other,incheon,saporo,27
문서희,44,tourism,incheon,fukuoka,45
길유민,79,tourism,gimpo,saporo,4
상민경,24,tourism,gimpo,osaka,75
용수정,11,tourism,jeju,osaka,29
엄재희,6,other,jeju,saporo,71
시혜성,23,tourism,gimpo,osaka,42
온민영,7,other,incheon,saporo,51
지성빈,26,other,gimpo,osaka,90
갈서연,18,other,incheon,osaka,78
좌민결,17,business,incheon,fukuoka,60
염유림,52,business,incheon,saporo,30
홍유민,43,business,gimpo,fukuoka,52
우현성,36,other,incheon,fukuoka,15
김채희,64,business,incheon,tokyo,53
반유라,63,tourism,jeju,tokyo,78
표민솔,69,other,incheon,tokyo,69
형하영,3,tourism,jeju,fukuoka,52
전세연,3,tourism,gimpo,saporo,59
배로아,26,tourism,incheon,saporo,71
부다은,12,business,gimpo,osaka,79
전승빈,38,tourism,gimpo,tokyo,88
좌준영,25,other,busan,tokyo,1
팽정은,58,other,gimpo,tokyo,28
옥지영,26,other,gimpo,tokyo,59
서주연,45,business,busan,fukuoka,1
안진우,11,other,jeju,osaka,82
용은설,7,business,jeju,saporo,1
변윤서,30,tourism,incheon,saporo,47
좌슬아,46,business,gimpo,fukuoka,67
금은솔,77,tourism,busan,saporo,18
봉예담,79,tourism,jeju,saporo,25
은승후,63,other,jeju,tokyo,21
봉나린,8,business,jeju,fukuoka,51
유새봄,4,other,incheon,saporo,83
심성진,41,other,incheon,saporo,2
복은우,60,tourism,incheon,tokyo,61
팽민지,77,other,gimpo,saporo,66
박현민,67,tourism,jeju,osaka,73
성가온,48,other,busan,saporo,44
염한나,18,tourism,gimpo,osaka,81
채규빈,65,tourism,jeju,osaka,49
명소율,21,other,gimpo,fukuoka,69
기건희,24,other,gimpo,tokyo,62
변동건,4,business,busan,fukuoka,23
권다희,27,other,gimpo,tokyo,85
성로운,21,tourism,busan,saporo,82
원승준,57,other,jeju,fukuoka,27
김소정,15,business,jeju,fukuoka,29
문윤성,32,tourism,incheon,osaka,51
오윤호,19,tourism,gimpo,osaka,71
오지혁,0,tourism,busan,saporo,15
안하윤,58,business,incheon,fukuoka,56
채연우,72,tourism,jeju,tokyo,14
견유성,24,tourism,busan,saporo,44
가은채,60,business,jeju,osaka,50
장세영,35,other,busan,fukuoka,50
기선호,30,other,gimpo,osaka,48
공라윤,11,other,jeju,saporo,50
엄예빈,67,business,incheon,saporo,30
옥수연,43,tourism,incheon,osaka,9
봉세훈,36,tourism,busan,tokyo,23
허유민,61,business,busan,osaka,62
갈지민,14,business,incheon,tokyo,37
한다온,9,tourism,jeju,fukuoka,75
백태경,43,tourism,gimpo,saporo,40
견여준,26,other,busan,tokyo,9
모지우,6,business,jeju,saporo,30
엄지유,69,tourism,gimpo,osaka,67
장요한,9,business,busan,fukuoka,21
노설,54,tourism,incheon,osaka,75
문아준,66,other,jeju,tokyo,10
가세현,20,other,gimpo,tokyo,78
목아현,10,tourism,gimpo,tokyo,15
길태훈,38,tourism,incheon,fukuoka,48
심다율,46,business,jeju,tokyo,15
명재율,59,other,jeju,tokyo,44
조연서,16,tourism,jeju,fukuoka,13
지서우,66,other,jeju,fukuoka,86
상주희,18,tourism,jeju,fukuoka,56
선재율,48,other,incheon,fukuoka,29
여여원,59,other,incheon,tokyo,68
우시안,50,business,jeju,fukuoka,4
빈나현,0,tourism,incheon,fukuoka,73
동이안,23,business,jeju,fukuoka,48
민승현,51,other,incheon,saporo,26
백수빈,9,other,gimpo,saporo,68
민도하,55,tourism,jeju,osaka,76
갈하윤,12,business,gimpo,fukuoka,16
탁도겸,24,other,busan,tokyo,87
예연우,39,tourism,busan,tokyo,26
장성준,26,other,gimpo,saporo,71
원도영,68,business,gimpo,osaka,73
성아인,73,tourism,gimpo,osaka,27
좌다혜,60,other,incheon,fukuoka,89
채지환,70,business,jeju,fukuoka,27
마도윤,27,business,busan,tokyo,1
함은호,68,business,incheon,fukuoka,23
범수민,40,tourism,gimpo,tokyo,40
유준혁,65,business,busan,fukuoka,60
견지영,60,tourism,busan,tokyo,54
온이현,65,other,gimpo,tokyo,21
육시후,58,other,incheon,tokyo,82
최주하,47,other,jeju,fukuoka,80
심나영,40,tourism,busan,fukuoka,23
민예서,34,other,busan,tokyo,19
육효린,6,other,gimpo,saporo,68
시서준,29,tourism,jeju,osaka,72
배주은,13,tourism,busan,fukuoka,64
최도원,5,other,incheon,fukuoka,82
강재민,3,tourism,gimpo,saporo,30
탁시현,10,business,jeju,saporo,75
고유준,79,tourism,incheon,saporo,31
봉혜빈,42,other,gimpo,fukuoka,40
성채민,24,business,busan,saporo,12
탁여준,51,tourism,busan,tokyo,20
도지성,16,business,incheon,fukuoka,84
차지은,3,business,busan,tokyo,32
표효준,25,other,gimpo,tokyo,20
손찬,59,business,jeju,tokyo,2
남연우,45,other,gimpo,fukuoka,30
표서현,72,other,gimpo,fukuoka,4
노도경,59,tourism,gimpo,osaka,17
선하영,66,tourism,busan,saporo,46
김시윤,44,other,busan,osaka,5
승유은,69,tourism,incheon,tokyo,35
온단우,7,tourism,busan,fukuoka,6
경한별,17,tourism,jeju,fukuoka,7
가태리,68,business,jeju,osaka,12
하한울,23,other,incheon,tokyo,51
