name,gender,salary,departments,position
정유찬,male,10349,marketing,assistant
맹현진,male,19301,marketing,header
복이든,male,20261,marketing,manager
배나율,male,24731,advertising,manager
마단우,male,8551,marketing,intern
기도아,male,16647,marketing,assistant
원하음,female,10052,design,assistant
위규현,male,15520,design,assistant
길주호,female,4982,advertising,assistant
동윤하,male,26627,marketing,assistant
경아인,female,15816,advertising,assistant
시민아,male,12295,marketing,manager
라제이,male,19920,marketing,manager
봉윤호,female,11561,advertising,intern
고준,male,29701,finance,assistant
송지혜,female,25532,marketing,manager
조세은,male,4595,advertising,intern
여하랑,female,6243,advertising,manager
백승우,male,24522,IT,assistant
하은호,male,5426,finance,intern
기승빈,female,19849,advertising,assistant
부주현,male,16738,design,assistant
범주안,female,25500,IT,manager
윤형준,male,10695,marketing,manager
장슬아,male,22091,marketing,assistant
왕은율,female,13493,marketing,manager
용민우,female,23666,finance,header
문민수,female,22843,marketing,assistant
갈수호,female,3858,marketing,assistant
은윤서,male,13001,marketing,manager
나연수,male,28772,marketing,assistant
임도원,male,23090,advertising,manager
맹태영,female,17870,advertising,assistant
김아인,male,11210,finance,assistant
방유경,male,19046,IT,assistant
최윤찬,female,17012,advertising,manager
봉현서,male,13261,marketing,assistant
석아인,male,22454,marketing,manager
장서윤,female,3863,marketing,manager
팽혜민,female,17604,marketing,assistant
오효린,female,24572,IT,manager
금연준,male,21483,marketing,assistant
팽은준,female,12587,marketing,manager
오건희,male,16948,advertising,assistant
연하늘,female,18330,advertising,assistant
여하진,female,12604,finance,assistant
범서율,female,17835,finance,manager
함은수,male,12961,advertising,header
백유찬,female,3470,marketing,manager
위시준,male,17819,IT,assistant
명하빈,female,27971,finance,assistant
태호준,female,20470,advertising,intern
강하빈,male,6841,marketing,intern
배하진,male,4374,finance,assistant
방유찬,female,15114,marketing,manager
지연지,female,27765,finance,assistant
신소원,male,13784,design,manager
어서윤,male,3809,design,assistant
맹시후,male,27920,advertising,manager
마세빈,female,8084,marketing,assistant
고상민,male,29358,advertising,intern
범민준,female,16505,marketing,header
여승유,male,19417,finance,intern
탁세린,male,3709,advertising,intern
단재현,male,27263,marketing,manager
주민하,male,18047,marketing,assistant
간슬아,male,9131,marketing,assistant
금동혁,female,8796,marketing,manager
태세인,male,24082,marketing,assistant
시서율,male,22451,marketing,assistant
단민찬,female,12954,advertising,manager
홍주한,male,6951,marketing,manager
길준서,male,6281,marketing,assistant
길재영,male,3533,advertising,manager
안승훈,female,7457,marketing,assistant
길새봄,female,16610,marketing,manager
오경민,female,19097,marketing,manager
박윤,female,16781,marketing,manager
모정민,male,17769,IT,intern
동수빈,male,26519,advertising,assistant
육지우,male,8466,marketing,manager
옥성빈,male,15994,marketing,assistant
임동현,male,3136,advertising,intern
유찬,male,24394,marketing,assistant
위이안,male,17532,marketing,assistant
손민성,male,15701,design,manager
동동훈,male,7082,advertising,header
부정우,male,26342,marketing,intern
송도율,female,19046,marketing,header
모우찬,female,24018,IT,assistant
전연우,female,19574,design,header
권혜인,female,20947,marketing,header
류민지,female,20225,marketing,intern
인성훈,female,22875,advertising,manager
봉동하,male,5649,marketing,assistant
옥서율,male,13982,advertising,assistant
오주환,female,19735,design,assistant
기시후,female,6803,marketing,assistant
장주완,male,7572,finance,assistant
형유리,male,5069,marketing,intern
전이안,female,29131,marketing,intern
엄정은,female,14232,advertising,assistant
태용준,male,23314,design,assistant
최성윤,female,5436,IT,manager
금주한,male,18853,IT,header
좌호준,female,28346,advertising,manager
채슬아,male,27580,marketing,manager
채서후,female,26643,marketing,assistant
인세은,female,23116,advertising,assistant
반은우,male,11260,advertising,header
고현진,male,6984,design,assistant
박채은,male,7999,marketing,assistant
양은채,male,19381,design,manager
채서아,male,25305,marketing,manager
장은솔,female,4149,finance,assistant
옥재원,male,7978,advertising,assistant
황지오,male,26345,marketing,manager
상유안,male,7821,marketing,manager
어세희,male,22543,advertising,intern
피은빈,male,7945,marketing,header
범대현,male,20804,IT,intern
변다영,male,9102,advertising,assistant
박강우,female,13259,marketing,intern
단원준,male,26337,marketing,assistant
함우주,female,5913,finance,assistant
사세린,female,11050,advertising,manager
당승주,male,27001,advertising,assistant
남나경,female,17465,design,manager
표현승,male,12089,finance,manager
조호진,male,28368,marketing,header
예요한,female,5942,marketing,manager
단재현,female,22194,marketing,manager
문주아,male,11519,marketing,manager
호도윤,male,21122,marketing,header
동범준,male,23223,IT,assistant
단다연,female,4647,IT,assistant
민현민,female,22530,design,assistant
육은준,male,27551,marketing,header
심유리,female,14585,marketing,assistant
국주호,male,29246,IT,assistant
변수인,male,10685,marketing,manager
형가람,male,25631,advertising,manager
설승우,female,9008,finance,manager
범영준,female,8582,marketing,assistant
형지혁,female,20777,marketing,assistant
상수진,female,23742,advertising,header
정서율,female,21480,advertising,assistant
원승연,female,4933,marketing,manager
권시완,female,11473,marketing,assistant
장세린,male,14117,marketing,manager
시이안,male,22519,marketing,manager
장시현,female,26068,marketing,intern
국지온,male,10397,advertising,manager
조정원,male,8322,IT,header
감소원,male,6050,marketing,manager
편세현,female,26654,advertising,assistant
맹현지,male,28099,marketing,assistant
온시아,female,12118,design,manager
정서율,male,19486,marketing,manager
정혜원,female,26350,marketing,intern
설다솜,male,3243,marketing,manager
엄재영,female,11768,IT,intern
어하윤,female,14752,marketing,header
선민준,male,10234,marketing,assistant
손주희,female,28786,advertising,manager
당희찬,male,21551,marketing,manager
최효원,male,12782,advertising,assistant
소세훈,female,4003,design,assistant
음태윤,male,7334,marketing,header
우가은,male,26081,marketing,assistant
류정원,female,22806,advertising,manager
이예슬,female,18479,design,manager
좌윤진,male,18613,marketing,assistant
모다온,female,23872,advertising,assistant
남수인,female,12966,IT,intern
성다경,male,12440,marketing,manager
조수지,male,8103,marketing,assistant
위예은,male,19474,marketing,manager
맹시율,female,13685,marketing,header
오다인,female,17812,marketing,assistant
견예지,male,25433,marketing,manager
빈세준,male,15695,marketing,header
강현준,male,5880,marketing,assistant
모규빈,male,12313,marketing,assistant
공세빈,female,11072,marketing,assistant
백나경,male,9192,design,assistant
견은유,female,13010,advertising,manager
차도진,female,14210,advertising,assistant
구서윤,male,22643,advertising,assistant
홍준혁,male,17093,marketing,manager
형규민,male,21701,IT,manager
빈예준,male,24972,advertising,assistant
선현빈,male,3703,advertising,manager
민윤건,male,14079,marketing,manager
추다희,male,11593,marketing,manager
명선호,male,15830,marketing,manager
유도준,female,12471,IT,manager
전효준,male,22208,marketing,manager
곽영준,male,18530,design,assistant
제은율,male,4910,finance,manager
당서린,female,4105,marketing,intern
선서정,female,19459,design,assistant
이고은,male,4761,marketing,assistant
표나경,male,17650,finance,assistant
라지온,male,27360,advertising,header
갈채영,male,4838,marketing,header
공해나,female,3820,marketing,assistant
추연서,female,25691,marketing,manager
심수민,male,24023,marketing,assistant
조윤,female,26620,marketing,assistant
장가연,male,22860,marketing,assistant
정가람,female,28981,marketing,manager
기연수,male,14007,finance,assistant
빈민경,female,9350,marketing,manager
육은우,female,18654,marketing,header
반승준,female,9996,marketing,assistant
간재민,male,9668,marketing,assistant
국나경,female,11193,marketing,assistant
현지안,male,4436,marketing,header
신채원,female,28636,marketing,assistant
표우영,male,5130,advertising,manager
편가연,female,18855,advertising,assistant
주지환,male,8356,marketing,assistant
차온유,male,21251,marketing,manager
차지아,male,24870,marketing,header
부지안,female,6687,advertising,assistant
마지용,male,20120,advertising,assistant
오태린,male,7178,marketing,manager
고건호,male,3464,advertising,header
안현빈,male,6622,advertising,assistant
원승빈,male,16308,advertising,assistant
범수인,female,21888,finance,assistant
편동우,female,3656,marketing,assistant
간채원,female,18179,advertising,intern
국지한,male,24169,advertising,header
마주완,female,27017,advertising,intern
견설,male,3431,finance,manager
안찬우,female,10011,marketing,manager
조소윤,male,13292,marketing,intern
임세연,male,24279,advertising,manager
원사랑,male,16102,marketing,manager
좌원우,male,6500,marketing,assistant
감시온,male,26756,design,assistant
모지훈,female,5924,marketing,manager
장연서,female,14875,marketing,manager
기윤,female,10730,design,assistant
류로이,male,9948,advertising,assistant
노민재,female,14008,marketing,assistant
구다연,female,3731,advertising,assistant
이효주,female,6152,marketing,header
김예지,male,10984,marketing,intern
오도은,male,13506,marketing,assistant
지지환,female,24089,marketing,manager
탁은솔,female,11791,marketing,intern
모채희,female,5837,design,manager
황지운,female,7827,marketing,manager
함준현,male,10491,marketing,header
갈아영,male,12966,advertising,assistant
황승후,female,25757,advertising,intern
김예성,female,21199,marketing,intern
도정훈,female,7524,IT,assistant
설우진,female,21077,finance,intern
모채현,male,18579,marketing,header
태연호,female,17584,advertising,assistant
차예주,female,12428,marketing,assistant
석성윤,female,14781,marketing,assistant
엄준석,male,28750,IT,assistant
강유리,male,14134,marketing,assistant
배이서,male,6111,design,assistant
감시후,male,21032,IT,manager
어혜윤,male,5626,advertising,assistant
현하엘,male,27046,marketing,assistant
민영준,male,10325,advertising,manager
장하음,male,18941,design,manager
안지은,female,22571,design,intern
음용준,male,23002,marketing,assistant
두승주,female,3502,finance,manager
견지수,male,26070,design,assistant
복은재,male,5239,advertising,assistant
권지안,male,24740,marketing,assistant
조온유,female,6856,marketing,manager
예승후,male,13103,advertising,manager
차승준,female,14132,advertising,assistant
강시훈,male,23979,marketing,assistant
나혜성,male,29726,marketing,intern
팽시헌,female,16321,marketing,assistant
호단비,male,19608,finance,intern
진동규,male,9260,marketing,intern
마이현,male,13363,advertising,intern
동시안,male,19974,IT,assistant
음성빈,male,9124,IT,intern
소은수,male,20763,marketing,intern
성이솔,female,4544,advertising,intern
기아인,female,18241,marketing,manager
염정현,male,20424,marketing,manager
황새봄,female,8876,marketing,assistant
승성민,female,26833,IT,assistant
변서진,male,7664,advertising,intern
장이현,female,27492,advertising,assistant
빈현승,male,10913,marketing,manager
팽채은,male,9213,marketing,assistant
민시온,female,6710,marketing,assistant
설연우,male,24052,IT,assistant
석민아,male,18525,advertising,manager
함시원,male,23847,marketing,assistant
민민서,female,7088,advertising,assistant
빈준혁,female,6908,marketing,assistant
정민경,female,7330,marketing,manager
복시율,female,22397,design,manager
명단아,male,13619,marketing,intern
류혜성,female,6317,finance,assistant
당도희,male,3354,marketing,intern
용소미,female,28141,design,assistant
함은우,male,15932,finance,assistant
황재인,female,26509,advertising,manager
석서희,female,17942,marketing,manager
승유안,female,9194,marketing,assistant
원규민,male,7089,design,assistant
함태은,male,3642,IT,manager
백은성,male,8983,design,intern
마현호,male,11946,advertising,header
제태호,male,5737,finance,assistant
좌하온,female,10231,advertising,assistant
전채연,female,13180,IT,assistant
가수빈,male,11214,marketing,header
형윤,female,24959,marketing,assistant
호찬우,male,20772,marketing,manager
성민성,female,26445,finance,assistant
주지현,male,23453,advertising,intern
시순기,male,18429,advertising,intern
표재우,male,19288,IT,manager
인재인,female,16201,advertising,manager
류한율,male,5326,marketing,assistant
도민규,male,26343,advertising,assistant
동나경,female,23457,marketing,manager
장지후,female,29290,marketing,manager
당채빈,male,11652,advertising,manager
간온유,female,8679,marketing,manager
지은성,male,19677,marketing,assistant
나연수,male,28198,marketing,assistant
갈소영,female,12177,marketing,intern
우서빈,male,11342,finance,manager
태승찬,male,4313,marketing,manager
신승빈,male,11135,marketing,manager
강세인,female,14726,marketing,intern
길가람,female,7772,marketing,manager
당태훈,male,24727,marketing,assistant
인영준,male,6827,advertising,assistant
인다온,male,6670,marketing,intern
백선호,male,12382,advertising,assistant
류태이,male,21440,advertising,manager
당나윤,male,10704,marketing,header
복서우,male,20790,marketing,assistant
위준혁,female,8382,marketing,assistant
곽효준,male,25010,advertising,assistant
한시호,male,4201,IT,manager
진요한,male,24478,finance,manager
형효은,female,19186,advertising,manager
상승재,female,29003,advertising,manager
어태희,female,18271,advertising,manager
금유건,female,27463,finance,manager
유현석,male,16190,marketing,manager
신현우,male,6673,IT,manager
안재영,female,5807,advertising,assistant
고진혁,female,27998,marketing,manager
곽도영,male,18158,IT,manager
유서빈,female,6018,marketing,assistant
노한울,male,22540,marketing,intern
간서하,male,12117,marketing,manager
민은별,male,12782,IT,assistant
옥나영,male,6626,marketing,assistant
마다율,male,5365,advertising,header
용설아,male,11529,marketing,header
어도하,male,29633,advertising,assistant
기해준,male,5065,advertising,assistant
우은우,male,11736,marketing,assistant
심준혁,male,3710,marketing,manager
방시아,male,7572,finance,assistant
신민규,female,17700,IT,assistant
승재준,male,20291,advertising,assistant
견정원,male,17574,marketing,header
윤세은,female,20649,marketing,manager
호유진,female,12282,marketing,assistant
강예슬,male,25382,advertising,assistant
반태양,male,25178,IT,manager
하정은,male,7125,marketing,assistant
부준혁,female,19681,marketing,manager
권제이,male,11797,IT,manager
임정현,male,6394,advertising,manager
노지민,male,19763,marketing,manager
이설,female,21804,design,header
차유안,male,15479,advertising,assistant
선주완,female,15191,marketing,assistant
육다온,male,6621,finance,manager
신하늘,male,23211,marketing,assistant
임건우,female,26609,marketing,assistant
백주희,male,20432,design,assistant
부윤하,male,27897,advertising,assistant
홍예솔,male,23770,marketing,header
시제인,male,13114,finance,assistant
반예빈,male,3143,IT,intern
고석현,male,18280,finance,manager
손보민,female,9517,marketing,manager
빈수민,female,4794,finance,assistant
표우주,female,7863,marketing,header
방윤,male,26362,design,assistant
왕수민,female,14674,marketing,assistant
임유은,male,5426,marketing,manager
변지운,female,25618,finance,assistant
장준,female,5819,marketing,intern
변수호,male,28189,marketing,assistant
성율,female,10844,marketing,manager
오서아,male,3152,advertising,assistant
감현서,male,5789,design,manager
빈시후,female,10890,marketing,assistant
박소정,male,28340,advertising,manager
신유진,female,10671,finance,assistant
배시훈,male,8298,advertising,assistant
은하늘,female,24906,marketing,header
표별,male,7191,advertising,manager
현시원,male,28826,marketing,assistant
빈지민,male,22606,design,assistant
국은재,female,15642,marketing,manager
조민하,male,29207,marketing,assistant
태온유,female,27297,IT,manager
조재현,female,4587,marketing,assistant
은루아,male,15144,marketing,assistant
부지성,male,23512,marketing,assistant
곽민호,female,14780,IT,assistant
형한울,female,18540,marketing,manager
용하영,male,25624,advertising,assistant
갈동하,male,17164,IT,intern
형도은,female,12202,marketing,manager
설상윤,male,8017,advertising,assistant
석시호,male,23274,marketing,assistant
마태민,female,23418,marketing,assistant
육선율,male,5965,marketing,assistant
갈유주,male,14931,marketing,assistant
정보미,female,13550,marketing,intern
방나영,male,3134,IT,assistant
표민영,female,11291,IT,manager
두하빈,male,15229,finance,assistant
윤혜진,male,28011,marketing,intern
권단우,female,23564,marketing,manager
승준성,male,16036,marketing,assistant
공아인,male,9493,design,assistant
차다인,male,19488,marketing,intern
은태율,female,25190,advertising,header
용재준,male,22029,advertising,assistant
용다현,male,11127,marketing,manager
옥지효,female,18742,finance,header
시지용,male,27420,finance,header
김은율,male,3998,marketing,assistant
곽유빈,male,18540,IT,manager
온성민,male,3261,advertising,assistant
갈수아,male,15118,marketing,assistant
천다윤,male,27249,design,assistant
온혜정,male,28041,advertising,assistant
연도영,male,10110,IT,intern
허서진,male,28149,IT,header
위다경,male,7390,marketing,manager
표채린,male,19160,marketing,manager
간승연,male,20917,marketing,manager
추주환,male,28266,marketing,assistant
동성빈,female,10040,finance,header
편채연,male,6327,marketing,assistant
육현승,male,17213,marketing,header
연선우,female,12992,design,assistant
심다연,male,6699,marketing,assistant
조하음,female,14628,marketing,header
도도현,female,4885,advertising,manager
승은수,female,9096,advertising,assistant
편서원,female,16889,marketing,assistant
백준원,male,10645,marketing,assistant
단태양,female,24262,marketing,assistant
배율,female,20234,marketing,header
김은수,female,11800,marketing,manager
강하늘,male,15843,finance,assistant
석민지,male,8439,marketing,assistant
견예성,male,16785,marketing,assistant
견가온,female,29040,finance,assistant
석하준,female,29067,finance,manager
허은별,male,29516,finance,manager
나유진,female,23682,design,intern
추현호,female,11240,IT,assistant
나루아,male,27766,advertising,assistant
왕하준,male,22505,advertising,manager
지우영,female,9449,marketing,header
육현준,male,6569,design,manager
백시헌,male,6089,marketing,manager
진효원,female,8129,marketing,intern
한시후,female,29370,advertising,manager
임지호,male,11866,marketing,assistant
유세훈,male,23518,advertising,assistant
양가연,male,12418,advertising,assistant
은성우,female,13701,IT,assistant
갈윤,female,28048,marketing,assistant
갈주영,female,16409,advertising,manager
최은혜,male,12450,IT,assistant
가우찬,male,7509,finance,assistant
최동규,male,11702,design,manager
기태인,female,21475,advertising,assistant
유준현,female,21101,marketing,manager
채준우,male,11899,marketing,assistant
길유하,female,11401,marketing,intern
안가연,female,9883,advertising,assistant
백승빈,male,3036,design,manager
어효린,female,12795,advertising,assistant
홍현,male,25668,IT,assistant
양시은,female,11845,marketing,assistant
방재현,female,21084,marketing,manager
오서아,female,26090,marketing,manager
문윤하,male,28890,marketing,manager
피가인,female,7188,advertising,assistant
옥지안,female,20406,design,manager
도도현,female,21340,IT,manager
소유민,male,7389,marketing,manager
견지혁,female,26035,advertising,manager
팽민경,male,28918,advertising,manager
금한나,male,15894,design,assistant
우아인,female,15269,marketing,manager
염예찬,male,8602,advertising,assistant
감다윤,male,10268,marketing,manager
용재이,male,17158,IT,assistant
범소민,male,15569,advertising,manager
빈은유,female,4695,finance,assistant
모승우,female,15077,advertising,assistant
상승준,male,18260,advertising,manager
목규현,female,3009,IT,manager
모혜성,female,29360,advertising,assistant
방준형,female,28106,design,assistant
가이한,female,19343,marketing,assistant
팽서후,male,5958,IT,intern
라혜린,male,7978,marketing,assistant
허진우,female,26707,marketing,assistant
신강현,female,7100,design,assistant
연주은,female,9150,advertising,assistant
팽건우,female,16274,marketing,manager
육승준,male,9289,marketing,assistant
안태양,male,7525,IT,assistant
전준서,male,15544,design,intern
모주원,male,16656,marketing,assistant
예범준,male,17585,design,header
모규현,female,14539,advertising,manager
여현아,male,14512,marketing,assistant
선동훈,female,3125,design,manager
유태준,male,14688,IT,assistant
차원준,female,10861,marketing,intern
심형준,male,24710,marketing,intern
가성우,female,6705,marketing,assistant
음영민,male,21243,marketing,assistant
어가연,male,18813,marketing,assistant
형하음,female,23323,advertising,assistant
최지민,male,26153,marketing,assistant
감은율,male,9001,IT,assistant
한이안,female,22661,marketing,manager
목채이,male,11874,marketing,assistant
단재이,male,4148,marketing,assistant
두지운,female,19637,marketing,assistant
홍현서,male,4154,marketing,assistant
천재영,female,25084,advertising,intern
상정후,female,11566,advertising,manager
구윤,female,14909,marketing,header
현준희,female,15439,marketing,intern
은하나,male,24196,marketing,manager
오연주,male,25935,design,assistant
범동윤,female,29779,finance,assistant
양나은,female,21920,marketing,header
구지민,male,12024,finance,assistant
공세연,female,14533,marketing,assistant
견은율,male,25515,marketing,header
배민영,male,14578,advertising,intern
김도하,male,18385,finance,intern
심이준,male,17797,IT,assistant
심지우,female,10049,design,header
좌정은,female,3089,IT,manager
변도윤,male,25169,marketing,assistant
고동건,male,18406,marketing,intern
옥다솜,male,9664,marketing,assistant
감정후,female,18412,advertising,assistant
천이솔,female,7891,marketing,intern
모세은,female,22506,advertising,assistant
주윤건,female,4988,marketing,assistant
갈태이,female,26259,advertising,assistant
제하나,male,4212,marketing,header
위지성,female,14110,marketing,assistant
민서호,male,22335,marketing,assistant
유보민,male,13073,advertising,intern
류윤후,male,4943,marketing,manager
우민솔,female,25806,marketing,intern
예연서,male,25682,design,intern
국예린,male,16960,advertising,assistant
예서우,male,9511,marketing,manager
당태호,male,29585,advertising,manager
민민찬,male,25373,marketing,manager
류민주,male,16870,advertising,manager
연연주,male,16412,design,assistant
왕형준,female,14318,marketing,assistant
용여진,male,25256,IT,manager
배다율,male,14174,marketing,manager
경아진,female,3016,IT,assistant
노서진,male,15589,marketing,intern
단준후,female,16583,marketing,intern
배민아,female,26981,marketing,header
갈아인,female,11448,design,assistant
제우준,female,15383,marketing,manager
성하연,male,10151,IT,header
형은성,female,15287,finance,assistant
가태경,male,8567,marketing,assistant
라세인,female,6557,advertising,assistant
호라윤,male,14444,IT,manager
우재윤,male,23242,marketing,assistant
목유주,male,22872,advertising,manager
범준원,male,26920,IT,manager
선준희,male,22756,finance,intern
양한별,male,22511,finance,manager
팽재현,male,6910,IT,manager
견주연,female,18210,marketing,manager
위재하,male,26770,marketing,assistant
옥강현,male,20004,marketing,manager
탁승주,male,23434,advertising,manager
봉현우,male,11039,advertising,manager
봉혜빈,male,6140,IT,manager
육영민,female,17957,marketing,intern
이재혁,female,26265,advertising,assistant
국설아,female,19472,advertising,assistant
지지영,female,7294,marketing,assistant
현현준,female,21849,marketing,intern
빈도진,male,20212,marketing,header
윤아인,female,14020,marketing,assistant
심로아,male,18115,marketing,intern
도채영,male,25133,finance,header
부서우,female,22036,IT,assistant
정시준,male,3373,advertising,manager
동태영,male,3586,marketing,assistant
나효주,female,17348,advertising,manager
단유나,male,4191,advertising,manager
왕용준,female,13865,advertising,assistant
팽도경,male,24727,design,manager
염도영,female,14143,finance,manager
허주은,male,27280,advertising,manager
현주환,female,18277,design,intern
육영민,male,10815,marketing,manager
민도하,male,7096,IT,assistant
곽하나,male,13970,marketing,assistant
도다솜,male,28293,design,manager
두라온,male,27209,marketing,assistant
은건호,male,20509,advertising,manager
표윤후,male,22022,marketing,header
제정현,male,3393,advertising,intern
곽이현,male,3878,marketing,manager
성세준,female,7813,marketing,header
윤아라,female,27366,marketing,assistant
채현서,male,9757,design,assistant
차세인,female,17217,design,assistant
견상윤,male,25887,IT,assistant
육혜진,male,10801,marketing,assistant
태현진,female,15616,advertising,manager
사정은,male,29077,marketing,manager
추은율,female,23707,marketing,assistant
경재희,male,18862,advertising,assistant
빈아윤,male,3728,marketing,manager
빈여원,female,24562,IT,assistant
예서원,female,21351,marketing,assistant
방하리,male,16876,IT,manager
감건호,female,21203,marketing,assistant
설찬영,male,19800,marketing,assistant
좌하율,male,14852,advertising,assistant
석예주,female,15335,marketing,manager
예예주,female,16322,marketing,assistant
성채윤,male,21199,advertising,assistant
조진우,male,4411,marketing,assistant
우도원,female,27479,advertising,assistant
송예림,male,30000,design,intern
공다희,female,28038,marketing,assistant
소요한,female,22326,marketing,intern
전승찬,male,3590,marketing,assistant
채별,male,6161,advertising,manager
염지후,female,25848,marketing,assistant
시다희,female,16195,marketing,manager
오시안,female,17586,marketing,assistant
권지민,female,25723,marketing,intern
허지민,female,8286,marketing,assistant
도시현,female,25661,design,assistant
제하온,female,22088,finance,header
오예빈,male,19559,marketing,manager
예유민,male,17069,marketing,assistant
추연준,female,20571,marketing,assistant
음주희,female,18264,marketing,assistant
어규빈,female,22956,marketing,assistant
차지온,male,14590,finance,assistant
한도경,female,16673,design,manager
봉호진,male,15921,advertising,assistant
나시율,female,11924,marketing,manager
황시현,female,16031,advertising,intern
양윤슬,male,20495,marketing,manager
배영준,male,23973,finance,manager
소지웅,male,3000,IT,assistant
태이안,male,19856,design,assistant
간현,female,18349,marketing,assistant
류서은,male,10390,IT,manager
위나경,male,14243,marketing,manager
가민주,male,21239,finance,assistant
목경민,male,5826,design,header
모성빈,female,14959,marketing,assistant
공혜민,female,29203,marketing,assistant
시지후,male,22806,design,assistant
용민우,male,27278,marketing,manager
최여원,male,7742,marketing,manager
윤하성,male,13994,finance,manager
문동규,female,9805,advertising,intern
왕하연,male,4908,advertising,assistant
단리나,female,11265,marketing,assistant
박재희,male,9727,finance,assistant
장지원,male,24556,finance,manager
맹서원,male,22270,advertising,header
제준영,female,6836,marketing,assistant
전유성,female,7098,marketing,assistant
동순기,female,18597,marketing,manager
부지우,male,21092,finance,manager
승우현,female,29341,marketing,manager
두지용,female,10783,advertising,manager
송수아,male,27106,marketing,manager
어서빈,male,24126,design,intern
임정우,male,3207,marketing,intern
갈아영,female,6467,design,manager
박동혁,male,12335,marketing,assistant
변연우,female,12587,marketing,assistant
가은재,male,4328,marketing,assistant
태수현,male,8762,advertising,manager
변승민,male,13109,finance,intern
박예슬,female,15356,finance,assistant
정규민,male,14034,marketing,intern
추동현,male,11984,IT,intern
안한울,female,13284,marketing,assistant
변지오,male,29639,finance,manager
옥은솔,male,13622,advertising,assistant
채가연,female,27902,advertising,manager
남채희,female,21208,marketing,intern
형지영,male,22383,advertising,assistant
손태하,male,6277,advertising,manager
좌은혜,female,18082,IT,header
좌수민,female,27263,marketing,manager
안소희,male,6407,marketing,manager
장지안,male,6280,advertising,assistant
동우현,male,18605,marketing,assistant
탁소율,female,29851,IT,intern
우승훈,female,14462,advertising,header
소민서,female,8360,marketing,assistant
선유정,male,26828,marketing,assistant
당연호,female,29043,marketing,assistant
함채은,male,29816,design,manager
상유라,male,18120,advertising,assistant
범주혁,male,4296,marketing,manager
주소은,male,6667,marketing,header
반성준,female,3807,marketing,intern
국지우,male,16740,marketing,assistant
현유성,female,23867,advertising,intern
윤리안,male,28975,design,manager
음하율,male,10974,advertising,intern
빈지오,male,18930,marketing,assistant
